player,view,event,joint,angle_deg
LYDIA KO,DTL,Address,L_elbow,154.24
LYDIA KO,DTL,Address,R_elbow,157.18
LYDIA KO,DTL,Address,L_hip,135.58
LYDIA KO,DTL,Address,R_hip,138.97
LYDIA KO,FO,Address,L_elbow,170.64
LYDIA KO,FO,Address,R_elbow,165.53
LYDIA KO,FO,Address,L_hip,159.17
LYDIA KO,FO,Address,R_hip,163.22
LYDIA KO,DTL,Top,L_elbow,122.03
LYDIA KO,DTL,Top,R_elbow,115.75
LYDIA KO,DTL,Top,L_hip,127.96
LYDIA KO,DTL,Top,R_hip,135.36
LYDIA KO,FO,Top,L_elbow,144.36
LYDIA KO,FO,Top,R_elbow,141.85
LYDIA KO,FO,Top,L_hip,171.69
LYDIA KO,FO,Top,R_hip,156.76
LYDIA KO,DTL,Impact,L_elbow,143.51
LYDIA KO,DTL,Impact,R_elbow,144.88
LYDIA KO,DTL,Impact,L_hip,153.69
LYDIA KO,DTL,Impact,R_hip,151.89
LYDIA KO,FO,Impact,L_elbow,162.86
LYDIA KO,FO,Impact,R_elbow,146.67
LYDIA KO,FO,Impact,L_hip,174.28
LYDIA KO,FO,Impact,R_hip,151.85
LYDIA KO,DTL,Mid-FT,L_elbow,122.82
LYDIA KO,DTL,Mid-FT,R_elbow,116.47
LYDIA KO,DTL,Mid-FT,L_hip,153.97
LYDIA KO,DTL,Mid-FT,R_hip,147.84
LYDIA KO,FO,Mid-FT,L_elbow,139.28
LYDIA KO,FO,Mid-FT,R_elbow,146.67
LYDIA KO,FO,Mid-FT,L_hip,173.64
LYDIA KO,FO,Mid-FT,R_hip,152.85
INBEE PARK,DTL,Address,L_elbow,139.68
INBEE PARK,DTL,Address,R_elbow,163.06
INBEE PARK,DTL,Address,L_hip,142.42
INBEE PARK,DTL,Address,R_hip,151.47
INBEE PARK,FO,Address,L_elbow,165.46
INBEE PARK,FO,Address,R_elbow,159.95
INBEE PARK,FO,Address,L_hip,164.64
INBEE PARK,FO,Address,R_hip,163.97
INBEE PARK,DTL,Top,L_elbow,51.23
INBEE PARK,DTL,Top,R_elbow,38.27
INBEE PARK,DTL,Top,L_hip,160.23
INBEE PARK,DTL,Top,R_hip,167.29
INBEE PARK,FO,Top,L_elbow,136.6
INBEE PARK,FO,Top,R_elbow,7.38
INBEE PARK,FO,Top,L_hip,174.35
INBEE PARK,FO,Top,R_hip,168.73
INBEE PARK,DTL,Impact,L_elbow,125.05
INBEE PARK,DTL,Impact,R_elbow,146.72
INBEE PARK,DTL,Impact,L_hip,155.73
INBEE PARK,DTL,Impact,R_hip,162.0
INBEE PARK,FO,Impact,L_elbow,163.99
INBEE PARK,FO,Impact,R_elbow,135.15
INBEE PARK,FO,Impact,L_hip,174.25
INBEE PARK,FO,Impact,R_hip,153.72
INBEE PARK,DTL,Mid-FT,L_elbow,120.85
INBEE PARK,DTL,Mid-FT,R_elbow,120.94
INBEE PARK,DTL,Mid-FT,L_hip,148.9
INBEE PARK,DTL,Mid-FT,R_hip,157.09
INBEE PARK,FO,Mid-FT,L_elbow,168.81
INBEE PARK,FO,Mid-FT,R_elbow,154.75
INBEE PARK,FO,Mid-FT,L_hip,174.84
INBEE PARK,FO,Mid-FT,R_hip,157.99
MICHELLE WIE,DTL,Address,L_elbow,151.04
MICHELLE WIE,DTL,Address,R_elbow,161.68
MICHELLE WIE,DTL,Address,L_hip,124.77
MICHELLE WIE,DTL,Address,R_hip,125.13
MICHELLE WIE,FO,Address,L_elbow,174.78
MICHELLE WIE,FO,Address,R_elbow,169.83
MICHELLE WIE,FO,Address,L_hip,165.05
MICHELLE WIE,FO,Address,R_hip,143.72
MICHELLE WIE,DTL,Top,L_elbow,169.17
MICHELLE WIE,DTL,Top,R_elbow,121.57
MICHELLE WIE,DTL,Top,L_hip,128.89
MICHELLE WIE,DTL,Top,R_hip,141.21
MICHELLE WIE,FO,Top,L_elbow,164.86
MICHELLE WIE,FO,Top,R_elbow,147.45
MICHELLE WIE,FO,Top,L_hip,168.33
MICHELLE WIE,FO,Top,R_hip,146.04
MICHELLE WIE,DTL,Impact,L_elbow,151.99
MICHELLE WIE,DTL,Impact,R_elbow,150.56
MICHELLE WIE,DTL,Impact,L_hip,151.87
MICHELLE WIE,DTL,Impact,R_hip,141.28
MICHELLE WIE,FO,Impact,L_elbow,138.85
MICHELLE WIE,FO,Impact,R_elbow,149.95
MICHELLE WIE,FO,Impact,L_hip,173.52
MICHELLE WIE,FO,Impact,R_hip,146.09
MICHELLE WIE,DTL,Mid-FT,L_elbow,174.64
MICHELLE WIE,DTL,Mid-FT,R_elbow,142.68
MICHELLE WIE,DTL,Mid-FT,L_hip,148.97
MICHELLE WIE,DTL,Mid-FT,R_hip,154.21
MICHELLE WIE,FO,Mid-FT,L_elbow,152.28
MICHELLE WIE,FO,Mid-FT,R_elbow,142.54
MICHELLE WIE,FO,Mid-FT,L_hip,170.52
MICHELLE WIE,FO,Mid-FT,R_hip,134.69
