player,view,event,joint,angle_deg
LYDIA KO,DTL,Address,L_elbow,154.24
LYDIA KO,DTL,Address,R_elbow,157.18
LYDIA KO,DTL,Address,L_hip,135.58
LYDIA KO,DTL,Address,R_hip,138.97
LYDIA KO,FO,Address,L_elbow,170.64
LYDIA KO,FO,Address,R_elbow,165.53
LYDIA KO,FO,Address,L_hip,159.17
LYDIA KO,FO,Address,R_hip,163.22
LYDIA KO,DTL,Top,L_elbow,122.03
LYDIA KO,DTL,Top,R_elbow,115.75
LYDIA KO,DTL,Top,L_hip,127.96
LYDIA KO,DTL,Top,R_hip,135.36
LYDIA KO,FO,Top,L_elbow,144.36
LYDIA KO,FO,Top,R_elbow,141.85
LYDIA KO,FO,Top,L_hip,171.69
LYDIA KO,FO,Top,R_hip,156.76
LYDIA KO,DTL,Impact,L_elbow,143.51
LYDIA KO,DTL,Impact,R_elbow,144.88
LYDIA KO,DTL,Impact,L_hip,153.69
LYDIA KO,DTL,Impact,R_hip,151.89
LYDIA KO,FO,Impact,L_elbow,162.86
LYDIA KO,FO,Impact,R_elbow,146.67
LYDIA KO,FO,Impact,L_hip,174.28
LYDIA KO,FO,Impact,R_hip,151.85
LYDIA KO,DTL,Mid-FT,L_elbow,122.82
LYDIA KO,DTL,Mid-FT,R_elbow,116.47
LYDIA KO,DTL,Mid-FT,L_hip,153.97
LYDIA KO,DTL,Mid-FT,R_hip,147.84
LYDIA KO,FO,Mid-FT,L_elbow,139.28
LYDIA KO,FO,Mid-FT,R_elbow,146.67
LYDIA KO,FO,Mid-FT,L_hip,173.64
LYDIA KO,FO,Mid-FT,R_hip,152.85
INBEE PARK,DTL,Address,L_elbow,155.32
INBEE PARK,DTL,Address,R_elbow,159.68
INBEE PARK,DTL,Address,L_hip,147.52
INBEE PARK,DTL,Address,R_hip,146.3
INBEE PARK,FO,Address,L_elbow,160.43
INBEE PARK,FO,Address,R_elbow,152.18
INBEE PARK,FO,Address,L_hip,162.81
INBEE PARK,FO,Address,R_hip,146.15
INBEE PARK,DTL,Top,L_elbow,51.95
INBEE PARK,DTL,Top,R_elbow,79.1
INBEE PARK,DTL,Top,L_hip,157.87
INBEE PARK,DTL,Top,R_hip,165.32
INBEE PARK,FO,Top,L_elbow,157.23
INBEE PARK,FO,Top,R_elbow,148.15
INBEE PARK,FO,Top,L_hip,175.3
INBEE PARK,FO,Top,R_hip,170.25
INBEE PARK,DTL,Impact,L_elbow,129.64
INBEE PARK,DTL,Impact,R_elbow,150.88
INBEE PARK,DTL,Impact,L_hip,149.82
INBEE PARK,DTL,Impact,R_hip,146.21
INBEE PARK,FO,Impact,L_elbow,155.68
INBEE PARK,FO,Impact,R_elbow,142.7
INBEE PARK,FO,Impact,L_hip,174.57
INBEE PARK,FO,Impact,R_hip,147.77
INBEE PARK,DTL,Mid-FT,L_elbow,70.44
INBEE PARK,DTL,Mid-FT,R_elbow,143.14
INBEE PARK,DTL,Mid-FT,L_hip,145.97
INBEE PARK,DTL,Mid-FT,R_hip,143.31
INBEE PARK,FO,Mid-FT,L_elbow,176.8
INBEE PARK,FO,Mid-FT,R_elbow,146.97
INBEE PARK,FO,Mid-FT,L_hip,175.43
INBEE PARK,FO,Mid-FT,R_hip,155.16
MICHELLE WIE,DTL,Address,L_elbow,157.42
MICHELLE WIE,DTL,Address,R_elbow,163.87
MICHELLE WIE,DTL,Address,L_hip,130.94
MICHELLE WIE,DTL,Address,R_hip,128.38
MICHELLE WIE,FO,Address,L_elbow,177.64
MICHELLE WIE,FO,Address,R_elbow,173.25
MICHELLE WIE,FO,Address,L_hip,160.26
MICHELLE WIE,FO,Address,R_hip,141.84
MICHELLE WIE,DTL,Top,L_elbow,24.01
MICHELLE WIE,DTL,Top,R_elbow,84.93
MICHELLE WIE,DTL,Top,L_hip,132.39
MICHELLE WIE,DTL,Top,R_hip,142.33
MICHELLE WIE,FO,Top,L_elbow,56.51
MICHELLE WIE,FO,Top,R_elbow,27.92
MICHELLE WIE,FO,Top,L_hip,164.83
MICHELLE WIE,FO,Top,R_hip,144.5
MICHELLE WIE,DTL,Impact,L_elbow,156.34
MICHELLE WIE,DTL,Impact,R_elbow,150.69
MICHELLE WIE,DTL,Impact,L_hip,158.09
MICHELLE WIE,DTL,Impact,R_hip,150.04
MICHELLE WIE,FO,Impact,L_elbow,145.46
MICHELLE WIE,FO,Impact,R_elbow,157.44
MICHELLE WIE,FO,Impact,L_hip,176.55
MICHELLE WIE,FO,Impact,R_hip,151.25
MICHELLE WIE,DTL,Mid-FT,L_elbow,143.69
MICHELLE WIE,DTL,Mid-FT,R_elbow,152.7
MICHELLE WIE,DTL,Mid-FT,L_hip,153.97
MICHELLE WIE,DTL,Mid-FT,R_hip,151.6
MICHELLE WIE,FO,Mid-FT,L_elbow,134.1
MICHELLE WIE,FO,Mid-FT,R_elbow,125.25
MICHELLE WIE,FO,Mid-FT,L_hip,170.77
MICHELLE WIE,FO,Mid-FT,R_hip,151.77
