player,clips,mean,std,median,min,max,cv
LYDIA KO,41,4.433,0.634,4.333,3.306,6.143,0.143
MICHELLE WIE,24,3.295,0.292,3.286,2.75,3.963,0.089
INBEE PARK,23,5.598,0.916,5.528,4.111,7.714,0.164
PAULA CREAMER,18,4.422,0.383,4.464,3.571,4.833,0.087
LEXI THOMPSON,17,3.368,0.586,3.222,2.8,5.125,0.174
TIGER WOODS,16,3.181,0.213,3.143,2.857,3.571,0.067
SANDRA GAL,15,4.188,0.528,4.125,3.333,5.125,0.126
RORY MCILROY,14,2.788,0.383,2.767,2.094,3.5,0.137
RICKIE FOWLER,14,3.092,0.417,3.0,2.625,4.182,0.135
GRAEME MCDOWELL,13,3.898,0.597,3.833,3.0,5.2,0.153
