id,player,youtube_id,view,slow,frame_count,ai_duration
125,LYDIA KO,sMy8BTx0NwM,down-the-line,0,127,48
126,LYDIA KO,sMy8BTx0NwM,down-the-line,1,420,191
206,LYDIA KO,PSlxXjIz8b0,face-on,1,204,47
207,LYDIA KO,PSlxXjIz8b0,down-the-line,0,372,39
208,LYDIA KO,PSlxXjIz8b0,face-on,0,249,43
209,LYDIA KO,PSlxXjIz8b0,down-the-line,0,179,45
210,LYDIA KO,PSlxXjIz8b0,face-on,1,330,175
211,LYDIA KO,PSlxXjIz8b0,face-on,1,378,178
231,LYDIA KO,48n2VHciI7k,face-on,0,270,51
232,LYDIA KO,48n2VHciI7k,face-on,1,354,198
256,LYDIA KO,UVnNv2eW4gQ,face-on,0,377,49
258,LYDIA KO,UVnNv2eW4gQ,face-on,1,372,193
264,LYDIA KO,aMEAGFqJiYM,down-the-line,0,244,44
265,LYDIA KO,aMEAGFqJiYM,down-the-line,1,336,155
277,LYDIA KO,eNlVKKM8bGk,face-on,0,415,180
306,LYDIA KO,8NtdKakPT5U,down-the-line,0,123,35
307,LYDIA KO,8NtdKakPT5U,down-the-line,1,292,135
351,LYDIA KO,cRc8BJ0kydc,face-on,0,520,45
352,LYDIA KO,cRc8BJ0kydc,face-on,1,387,176
452,LYDIA KO,xMlz2gmivv8,down-the-line,0,241,44
453,LYDIA KO,xMlz2gmivv8,down-the-line,1,274,87
522,LYDIA KO,WvsL3qrvC9Q,face-on,0,542,37
523,LYDIA KO,WvsL3qrvC9Q,face-on,1,341,145
855,LYDIA KO,ghi3184d6Is,down-the-line,0,438,49
856,LYDIA KO,ghi3184d6Is,face-on,0,113,48
857,LYDIA KO,ghi3184d6Is,down-the-line,1,400,191
858,LYDIA KO,ghi3184d6Is,face-on,1,385,193
859,LYDIA KO,ghi3184d6Is,face-on,0,560,50
860,LYDIA KO,ghi3184d6Is,down-the-line,0,156,48
861,LYDIA KO,ghi3184d6Is,face-on,1,376,193
862,LYDIA KO,ghi3184d6Is,down-the-line,1,334,185
903,LYDIA KO,wzW9pS3s0Dk,down-the-line,0,172,50
905,LYDIA KO,wzW9pS3s0Dk,down-the-line,1,413,195
1032,LYDIA KO,3wLk27z0Yvk,face-on,0,573,52
1033,LYDIA KO,3wLk27z0Yvk,down-the-line,0,155,48
1034,LYDIA KO,3wLk27z0Yvk,face-on,1,182,51
1035,LYDIA KO,3wLk27z0Yvk,down-the-line,1,146,47
1207,LYDIA KO,UoRF8meIAUc,face-on,0,270,49
1208,LYDIA KO,UoRF8meIAUc,face-on,1,1109,189
1209,LYDIA KO,UoRF8meIAUc,face-on,0,246,47
1210,LYDIA KO,UoRF8meIAUc,face-on,1,998,188
74,INBEE PARK,UZ9f9sukG3A,face-on,0,199,59
75,INBEE PARK,UZ9f9sukG3A,face-on,1,480,235
243,INBEE PARK,HdxziXkorhw,down-the-line,0,161,58
244,INBEE PARK,HdxziXkorhw,face-on,0,322,58
245,INBEE PARK,HdxziXkorhw,down-the-line,1,428,212
262,INBEE PARK,6IFPZ0_2q90,down-the-line,0,175,52
263,INBEE PARK,6IFPZ0_2q90,down-the-line,1,380,197
275,INBEE PARK,eNlVKKM8bGk,face-on,0,153,46
276,INBEE PARK,eNlVKKM8bGk,face-on,0,142,61
278,INBEE PARK,eNlVKKM8bGk,face-on,1,390,243
283,INBEE PARK,QfkWGAgwSkc,face-on,0,238,61
284,INBEE PARK,QfkWGAgwSkc,face-on,1,452,231
312,INBEE PARK,5E7Zb1-q73g,down-the-line,0,176,49
313,INBEE PARK,5E7Zb1-q73g,down-the-line,1,447,202
430,INBEE PARK,6Ezc-VDPVGk,down-the-line,0,252,53
433,INBEE PARK,6Ezc-VDPVGk,down-the-line,1,437,212
767,INBEE PARK,ZvncZqshXRY,other,0,375,54
768,INBEE PARK,ZvncZqshXRY,other,1,414,217
846,INBEE PARK,oUhrQAew7yA,face-on,0,192,63
1274,INBEE PARK,McdtFKcvw2A,down-the-line,0,304,57
1275,INBEE PARK,McdtFKcvw2A,down-the-line,1,422,230
1314,INBEE PARK,yHc1ccO4prQ,down-the-line,0,182,49
1316,INBEE PARK,yHc1ccO4prQ,down-the-line,1,334,187
156,MICHELLE WIE,nFTbqjkDm1k,face-on,0,97,30
160,MICHELLE WIE,nFTbqjkDm1k,face-on,0,116,30
163,MICHELLE WIE,nFTbqjkDm1k,face-on,1,236,119
164,MICHELLE WIE,nFTbqjkDm1k,face-on,1,230,118
257,MICHELLE WIE,UVnNv2eW4gQ,face-on,0,191,30
259,MICHELLE WIE,UVnNv2eW4gQ,face-on,1,427,117
328,MICHELLE WIE,fjwo733iNm8,face-on,0,152,34
329,MICHELLE WIE,fjwo733iNm8,face-on,1,267,134
408,MICHELLE WIE,GVHFZw_NfB8,face-on,0,360,31
409,MICHELLE WIE,GVHFZw_NfB8,face-on,1,308,119
566,MICHELLE WIE,mYaDUseJYWA,face-on,0,267,29
567,MICHELLE WIE,mYaDUseJYWA,face-on,1,267,118
877,MICHELLE WIE,htF1nwyL3Dc,face-on,0,388,30
878,MICHELLE WIE,htF1nwyL3Dc,face-on,1,1276,119
904,MICHELLE WIE,wzW9pS3s0Dk,down-the-line,0,127,30
906,MICHELLE WIE,wzW9pS3s0Dk,down-the-line,1,277,118
935,MICHELLE WIE,iwarijSolDQ,face-on,0,301,35
936,MICHELLE WIE,iwarijSolDQ,face-on,1,309,139
1094,MICHELLE WIE,Ts_StRfgOwY,down-the-line,0,145,30
1095,MICHELLE WIE,Ts_StRfgOwY,down-the-line,1,265,117
1139,MICHELLE WIE,IVRbQrq2JHo,down-the-line,0,96,31
1140,MICHELLE WIE,IVRbQrq2JHo,down-the-line,0,204,29
1141,MICHELLE WIE,IVRbQrq2JHo,down-the-line,0,129,29
1142,MICHELLE WIE,IVRbQrq2JHo,down-the-line,1,204,101
