player,DTL,FO,other,total,min_DTL_FO,has_both
LYDIA KO,18,23,0,41,18,True
INBEE PARK,12,9,2,23,9,True
MICHELLE WIE,8,16,0,24,8,True
PAULA CREAMER,9,5,4,18,5,True
LEXI THOMPSON,12,5,0,17,5,True
SANDRA GAL,5,6,4,15,5,True
RETIEF GOOSEN,4,4,2,10,4,True
AI MIYAZATO,6,4,1,11,4,True
CRISTIE KERR,6,4,2,12,4,True
CHARLES HOWELL,4,6,2,12,4,True
CHARLEY HULL,4,7,0,11,4,True
BROOKE HENDERSON,4,5,3,12,4,True
ANNA NORDQVIST,6,4,2,12,4,True
GRAEME MCDOWELL,4,7,2,13,4,True
STACY LEWIS,4,7,0,11,4,True
ALISON LEE,3,6,0,9,3,True
JESSICA KORDA,3,3,0,6,3,True
GARY WOODLAND,6,3,0,9,3,True
JASON DAY,3,4,0,7,3,True
TIGER WOODS,3,3,10,16,3,True
GRAHAM DELAET,2,2,0,4,2,True
JERRY KELLY,2,4,2,8,2,True
JONAS BLIXT,2,2,0,4,2,True
JOHN DALY,4,2,0,6,2,True
DUSTIN JOHNSON,4,2,2,8,2,True
JASON DUFNER,2,4,0,6,2,True
JENNY SHIN,2,5,0,7,2,True
FRED COUPLES,2,4,0,6,2,True
HARRIS ENGLISH,2,4,0,6,2,True
IAN POULTER,4,2,2,8,2,True
GERINA PILLER,4,2,0,6,2,True
JUSTIN LEONARD,2,2,2,6,2,True
HEE YOUNG PARK,4,2,2,8,2,True
ADAM SCOTT,3,2,3,8,2,True
LEE WESTWOOD,4,2,0,6,2,True
JUSTIN THOMAS,2,6,0,8,2,True
KARINE ICHER,2,2,0,4,2,True
YANI TSENG,2,4,0,6,2,True
SUZANN PETTERSEN,2,2,2,6,2,True
SO YEON RYU,2,4,3,9,2,True
SEAN OHAIR,2,4,5,11,2,True
RORY SABBATINI,4,2,2,8,2,True
RORY MCILROY,12,2,0,14,2,True
RICKIE FOWLER,4,2,8,14,2,True
PORNANONG PHATLUM,2,2,0,4,2,True
PERNILLA LINDBERG,2,2,0,4,2,True
NA YEON CHOI,2,2,0,4,2,True
MORIYA JUTANUGARN,2,2,0,4,2,True
MORGAN PRESSEL,4,2,0,6,2,True
MATT KUCHAR,2,4,0,6,2,True
MARK CALCAVECCHIA,2,2,0,4,2,True
LUKE DONALD,2,2,0,4,2,True
LIZETTE SALAS,2,2,0,4,2,True
KENNY PERRY,2,2,2,6,2,True
KEEGAN BRADLEY,2,2,0,4,2,True
KARRIE WEBB,3,2,2,7,2,True
DANIEL BERGER,2,2,0,4,2,True
ZACH JOHNSON,2,2,0,4,2,True
BILLY HORSCHEL,6,2,0,8,2,True
BILLY ANDRADE,2,2,0,4,2,True
BRANDT SNEDEKER,2,2,0,4,2,True
BRITTANY LINCICOME,4,2,0,6,2,True
BEATRIZ RECARI,6,2,2,10,2,True
BRYSON DECHAMBEAU,2,2,0,4,2,True
AZAHARA MUNOZ,2,2,2,6,2,True
AUSTIN ERNST,2,2,0,4,2,True
GREG NORMAN,1,4,1,6,1,True
MINJEE LEE,1,4,1,6,1,True
BUBBA WATSON,3,1,5,9,1,True
SHANSHAN FENG,2,1,0,3,1,True
HUNTER MAHAN,1,1,0,2,1,True
CURTIS STRANGE,2,1,0,3,1,True
COLIN MONTGOMERIE,1,4,0,5,1,True
ALLEN DOYLE,0,0,2,2,0,False
WILLIE WOOD,0,0,2,2,0,False
TONY FINAU,0,2,0,2,0,False
PETER JACOBSON,0,2,0,2,0,False
PETER HANSON,2,0,0,2,0,False
TROY MERRITT,2,0,0,2,0,False
BEN CRANE,2,0,0,2,0,False
PATRICK RODGERS,0,2,0,2,0,False
PATRICK REED,0,2,0,2,0,False
VIJAY SINGH,2,0,3,5,0,False
PAOLA MORENO,2,0,0,2,0,False
PADRAIG HARRINGTON,6,0,2,8,0,False
NICOLE CASTRALE,0,0,2,2,0,False
NICK WATNEY,2,0,0,2,0,False
NELLY KORDA,0,1,0,1,0,False
NATALIE GULBIS,2,0,2,4,0,False
REBECCA LEE BENTHAM,2,0,0,2,0,False
BEN CRENSHAW,0,0,2,2,0,False
BEN KOHLES,1,0,1,2,0,False
BEN ROETHLISBERGER,0,2,0,2,0,False
MO MARTIN,2,0,0,2,0,False
ALISON WALSHE,2,0,0,2,0,False
MIKE WEIR,4,0,2,6,0,False
MIKA MIYAZATO,2,0,0,2,0,False
BERNHARD LANGER,0,5,5,10,0,False
MARTIN KAYMER,0,0,2,2,0,False
MARK WILSON,4,0,0,4,0,False
MARK MOULAND,0,0,2,2,0,False
MARK MCNULTY,0,0,2,2,0,False
BAEK KYU JUNG,0,2,0,2,0,False
TOMMY ARMOUR III,0,0,2,2,0,False
TED POTTER JR,2,0,0,2,0,False
TIM WILKINSON ,2,0,0,2,0,False
SYDNEE MICHAELS,0,2,0,2,0,False
AMELIA LEWIS,0,2,0,2,0,False
TIM CLARK,4,0,0,4,0,False
SUN YOUNG YOO,0,2,0,2,0,False
STEWART CINK,1,0,1,2,0,False
STEVEN BOWDITCH,2,0,0,2,0,False
STEVE STRICKER,0,2,2,4,0,False
STEVE PATE,0,0,2,2,0,False
STEVE LOWERY,0,0,2,2,0,False
STEPHEN AMES,2,0,0,2,0,False
AMY YANG,0,0,2,2,0,False
TIM TEBOW,0,3,1,4,0,False
ANDREW MAGEE,0,0,2,2,0,False
SERGIO GARCIA,2,0,0,2,0,False
TOM LEHMAN,0,4,0,4,0,False
SEI YOUNG KIM,0,4,0,4,0,False
ANGEL CABRERA,2,0,0,2,0,False
SCOTT VERPLANK,2,0,2,4,0,False
SCOTT BROWN,2,0,0,2,0,False
SANDY LYLE,0,0,2,2,0,False
ANGEL YIN,0,2,0,2,0,False
RYAN PALMER,0,4,0,4,0,False
MARK BROOKS,0,2,0,2,0,False
ANGELA STANFORD,2,0,0,2,0,False
TOBY KEITH,0,2,0,2,0,False
ROGER CLEMENS,0,2,0,2,0,False
ROCCO MEDIATE,0,2,0,2,0,False
AYAKO UEHARA,4,0,0,4,0,False
RUSSELL HENLEY,2,0,0,2,0,False
BO VAN PELT,2,0,0,2,0,False
MARIAJO URIBE,1,0,0,1,0,False
CHAD CAMPBELL,2,0,0,2,0,False
HARRISON FRAZAR,2,0,0,2,0,False
HEE KYUNG SEO,3,0,0,3,0,False
CHARLEY HOFFMAN,0,2,0,2,0,False
HEE-WON HAN,2,0,0,2,0,False
HENRIK STENSON,1,0,2,3,0,False
HYO JOO KIM,0,3,0,3,0,False
IK KIM,5,0,0,5,0,False
HALE IRWIN,2,0,0,2,0,False
IN-GEE CHUN,0,4,0,4,0,False
CATRIONA MATTHEW,2,0,2,4,0,False
JAMIE LOVEMARK,0,0,2,2,0,False
JANE PARK,2,0,0,2,0,False
CAROLINE MASSON,2,0,0,2,0,False
CARL PETTERSSON,0,0,4,4,0,False
CHARLIE WI,2,0,0,2,0,False
HA NA JANG,0,2,0,2,0,False
BILLY HURLEY III,2,0,0,2,0,False
FUZZY ZOELLER,2,0,0,2,0,False
DANIEL SUMMERHAYS,0,0,2,2,0,False
DANIELLE KANG,2,0,0,2,0,False
DAVIS LOVE,0,0,4,4,0,False
CINDY LACROSSE,4,0,0,4,0,False
CHRISTINA KIM,0,2,0,2,0,False
FREDRIK JACOBSON,2,0,0,2,0,False
CHRIS STROUD,2,0,0,2,0,False
GREG CHALMERS,2,0,0,2,0,False
GENE SAUERS,0,0,2,2,0,False
GEOFF OGILVY,2,0,0,2,0,False
CHRIS DIMARCO,2,0,0,2,0,False
GIL MORGAN,0,0,2,2,0,False
CHEYENNE WOODS,1,0,0,1,0,False
CHELLA CHOI,0,2,0,2,0,False
JAYE MARIE GREEN,0,2,0,2,0,False
JEFF MAGGERT,0,0,2,2,0,False
JENNIFER JOHNSON,2,0,0,2,0,False
LEE JANZEN,0,2,0,2,0,False
KEN DUKE,2,0,0,2,0,False
BRAD FAXON,0,2,0,2,0,False
KEVIN CHAPPELL,1,0,0,1,0,False
KEVIN KISNER,2,0,0,2,0,False
KEVIN NA,2,0,0,2,0,False
KYLE STANLEY,3,0,1,4,0,False
BOO WEEKLEY,1,0,0,1,0,False
CANDIE KUNG,2,0,2,4,0,False
BOB TWAY,0,0,2,2,0,False
LINDSEY WRIGHT,0,0,2,2,0,False
BOB GILDER,0,0,2,2,0,False
LOREN ROBERTS,0,0,2,2,0,False
DA POINTS,2,0,0,2,0,False
LUKE GUTHRIE,2,0,0,2,0,False
KATHERINE HULL,2,0,2,4,0,False
BRANFORD MARSALIS,0,2,0,2,0,False
BRENDAN STEELE,0,0,2,2,0,False
BRITTANY LANG,2,0,2,4,0,False
JUSTIN ROSE,0,0,12,12,0,False
JULIETA GRANADA,0,2,2,4,0,False
JULI INKSTER,2,0,0,2,0,False
JOSE COCERES,2,0,0,2,0,False
BROOKS KOEPKA,1,0,0,1,0,False
JOHN SENDEN,2,0,0,2,0,False
JOHN HUSTON,0,0,2,2,0,False
JODI EWART,2,0,0,2,0,False
JIN YOUNG KO,0,2,0,2,0,False
JIM THORPE,1,0,3,4,0,False
JIM FURYK,2,0,0,2,0,False
BUD CAULEY,4,0,0,4,0,False
CAMERON TRINGALE,0,2,0,2,0,False
JIMMY WALKER,2,0,0,2,0,False
